2 pow   1 is 2
2 pow   2 is 4
2 pow   3 is 8
2 pow   4 is 16
2 pow   5 is 32
2 pow   6 is 64
2 pow   7 is 128
2 pow   8 is 256
2 pow   9 is 512
2 pow  10 is 1024
2 pow  11 is 2048
2 pow  12 is 4096
2 pow  13 is 8192
2 pow  14 is 16384
2 pow  15 is 32768
2 pow  16 is 65536
2 pow  17 is 131072
2 pow  18 is 262144
2 pow  19 is 524288
2 pow  20 is 1048576
2 pow  21 is 2097152
2 pow  22 is 4194304
2 pow  23 is 8388608
2 pow  24 is 16777216
2 pow  25 is 33554432
2 pow  26 is 67108864
2 pow  27 is 134217728
2 pow  28 is 268435456
2 pow  29 is 536870912
2 pow  30 is 1073741824
2 pow  31 is 2147483648
2 pow  32 is 4294967296
2 pow  33 is 8589934592
2 pow  34 is 17179869184
2 pow  35 is 34359738368
2 pow  36 is 68719476736
2 pow  37 is 137438953472
2 pow  38 is 274877906944
2 pow  39 is 549755813888
2 pow  40 is 1099511627776
2 pow  41 is 2199023255552
2 pow  42 is 4398046511104
2 pow  43 is 8796093022208
2 pow  44 is 17592186044416
2 pow  45 is 35184372088832
2 pow  46 is 70368744177664
2 pow  47 is 140737488355328
2 pow  48 is 281474976710656
2 pow  49 is 562949953421312
2 pow  50 is 1125899906842624
2 pow  51 is 2251799813685248
2 pow  52 is 4503599627370496
2 pow  53 is 9007199254740992
2 pow  54 is 18014398509481984
2 pow  55 is 36028797018963968
2 pow  56 is 72057594037927936
2 pow  57 is 144115188075855872
2 pow  58 is 288230376151711744
2 pow  59 is 576460752303423488
2 pow  60 is 1152921504606846976
2 pow  61 is 2305843009213693952
2 pow  62 is 4611686018427387904
